category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
707|24625,Clamping Tools|Clamping Tools,2021412N,"12"" XP600 One Handed Bar Clamp/ Spreader","12"" XP600 One Handed Bar Clamp/ Spreader - IRWIN Tools - 2021412N",E:\IMAGES\ITEMS\product\1\2\12-xp600-one-handed-bar-clamp-spreader-irwin-tools-2021412n.jpg,Irwin Tools,XP600 One Handed Bar Clamps / Spreaders,,"Patented POWER LOCKS™ hold more pressure, longer. Provides 600 lbs of one-handed force . Double Locking Swivel Jaws to allow even distribution of clamping forces . 3-3/4'' Throat Depth . Removable Full Face Pads . I-Beam Bar for reduced flexing and bowing . Quick Change Screw to allow for easy conversion to spreader . Adjustable Foot.",,"12"" XP600 One Handed Bar Clamp/ Spreader - IRWIN Tools - 2021412N","12"" XP600 One Handed Bar Clamp/ Spreader"
707|24625,Clamping Tools|Clamping Tools,2021406N,"6"" XP600 One Handed Bar Clamp/ Spreader","6"" XP600 One Handed Bar Clamp/ Spreader - IRWIN Tools - 2021406N",E:\IMAGES\ITEMS\product\6\-\6-xp600-one-handed-bar-clamp-spreader-irwin-tools-2021406n.jpg,Irwin Tools,XP600 One Handed Bar Clamps / Spreaders,,"Patented POWER LOCKS™ hold more pressure, longer. Provides 600 lbs of one-handed force . Double Locking Swivel Jaws to allow even distribution of clamping forces . 3-3/4'' Throat Depth . Removable Full Face Pads . I-Beam Bar for reduced flexing and bowing . Quick Change Screw to allow for easy conversion to spreader . Adjustable Foot.",,"6"" XP600 One Handed Bar Clamp/ Spreader - IRWIN Tools - 2021406N","6"" XP600 One Handed Bar Clamp/ Spreader"
707|21638,Clamping Tools|Spring Clamps,59400CD,"3"" Handi-Clamp","3"" Handi-Clamp - IRWIN Tools - 59400CD",E:\IMAGES\ITEMS\product\3\-\3-handi-clamp-irwin-tools-59400cd.jpg,Irwin Tools,Handi-Clamps,,QUICK-RELEASE™ trigger allows for fast and easy positioning and release . Patented ratcheting mechanism provides adjustable clamping pressure and significantly reduces hand force required to generate clamping pressure . High-tech resin construction provides strength and durability . Specially designed jaws hold odd-shaped workpieces.,,"3"" Handi-Clamp - IRWIN Tools - 59400CD","3"" Handi-Clamp"
707|24625,Clamping Tools|Clamping Tools,59200CD,"2"" Handi-Clamp","2"" Handi-Clamp - IRWIN Tools - 59200CD",E:\IMAGES\ITEMS\product\2\-\2-handi-clamp-irwin-tools-59200cd.jpg,Irwin Tools,Handi-Clamps,,QUICK-RELEASE™ trigger allows for fast and easy positioning and release . Patented ratcheting mechanism provides adjustable clamping pressure and significantly reduces hand force required to generate clamping pressure . High-tech resin construction provides strength and durability . Specially designed jaws hold odd-shaped workpieces.,,"2"" Handi-Clamp - IRWIN Tools - 59200CD","2"" Handi-Clamp"
707|24625,Clamping Tools|Clamping Tools,59100CD,"1-1/2"" Handi-Clamp","1-1/2"" Handi-Clamp - IRWIN Tools - 59100CD",E:\IMAGES\ITEMS\product\1\-\1-12-handi-clamp-irwin-tools-59100cd.jpg,Irwin Tools,Handi-Clamps,,QUICK-RELEASE™ trigger allows for fast and easy positioning and release . Patented ratcheting mechanism provides adjustable clamping pressure and significantly reduces hand force required to generate clamping pressure . High-tech resin construction provides strength and durability . Specially designed jaws hold odd-shaped workpieces.,,"1-1/2"" Handi-Clamp - IRWIN Tools - 59100CD","1-1/2"" Handi-Clamp"
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65905,300' Flagging Tape Color: Yellow,300' Flagging Tape Color: Yellow - IRWIN Tools - 65905,E:\IMAGES\ITEMS\product\3\0\300-flagging-tape-color-yellow-irwin-tools-65905.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,300' Flagging Tape Color: Yellow - IRWIN Tools - 65905,300' Flagging Tape Color: Yellow
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65904,300' Flagging Tape Color: White,300' Flagging Tape Color: White - IRWIN Tools - 65904,E:\IMAGES\ITEMS\product\3\0\300-flagging-tape-color-white-irwin-tools-65904.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,300' Flagging Tape Color: White - IRWIN Tools - 65904,300' Flagging Tape Color: White
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65903,300' Flagging Tape Color: Blue,300' Flagging Tape Color: Blue - IRWIN Tools - 65903,E:\IMAGES\ITEMS\product\3\0\300-flagging-tape-color-blue-irwin-tools-65903.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,300' Flagging Tape Color: Blue - IRWIN Tools - 65903,300' Flagging Tape Color: Blue
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65902,300' Flagging Tape Color: Orange,300' Flagging Tape Color: Orange - IRWIN Tools - 65902,E:\IMAGES\ITEMS\product\3\0\300-flagging-tape-color-orange-irwin-tools-65902.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,300' Flagging Tape Color: Orange - IRWIN Tools - 65902,300' Flagging Tape Color: Orange
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65901,300' Flagging Tape Color: Red,300' Flagging Tape Color: Red - IRWIN Tools - 65901,E:\IMAGES\ITEMS\product\3\0\300-flagging-tape-color-red-irwin-tools-65901.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,300' Flagging Tape Color: Red - IRWIN Tools - 65901,300' Flagging Tape Color: Red
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65604,150' Flagging Tape Color: Glo Lime,150' Flagging Tape Color: Glo Lime - IRWIN Tools - 65604,E:\IMAGES\ITEMS\product\1\5\150-flagging-tape-color-glo-lime-irwin-tools-65604.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,150' Flagging Tape Color: Glo Lime - IRWIN Tools - 65604,150' Flagging Tape Color: Glo Lime
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65603,150' Flagging Tape Color: Glo Pink,150' Flagging Tape Color: Glo Pink - IRWIN Tools - 65603,E:\IMAGES\ITEMS\product\1\5\150-flagging-tape-color-glo-pink-irwin-tools-65603.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,150' Flagging Tape Color: Glo Pink - IRWIN Tools - 65603,150' Flagging Tape Color: Glo Pink
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65602,150' Flagging Tape Color: Glo Orange,150' Flagging Tape Color: Glo Orange - IRWIN Tools - 65602,E:\IMAGES\ITEMS\product\1\5\150-flagging-tape-color-glo-orange-irwin-tools-65602.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,150' Flagging Tape Color: Glo Orange - IRWIN Tools - 65602,150' Flagging Tape Color: Glo Orange
716|19598,Flagging Tape | Duct Tape|Filament Tapes,65601,150' Flagging Tape Color: Glo Red,150' Flagging Tape Color: Glo Red - IRWIN Tools - 65601,E:\IMAGES\ITEMS\product\1\5\150-flagging-tape-color-glo-red-irwin-tools-65601.jpg,Irwin Tools,Flagging Tapes,,"Weatherproof poly vinyl chloride for harsh outdoor conditions . Ideal for construction, landscaping, excavating, identification of trees or hazards, and locating underground cables or pipe . 1-3/16'' wide . Bright, fade-resistant color for maximum visibility . Constructed of non-adhesive, non conducting vinyl . 1-3/16'' wide, 2 mil thick.",,150' Flagging Tape Color: Glo Red - IRWIN Tools - 65601,150' Flagging Tape Color: Glo Red
