category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
237|25826,Leather Gloves|Leather Palm Gloves,K3GT-11,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,Majestic Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 11,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K3GT-12,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,Majestic Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 12,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
237|27825,Leather Gloves|Cowhide Gloves,1800-7,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,,Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size 7,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1800-8,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Brown Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size 8,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1800-9,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Brown Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size 9,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1800-10,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Brown Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size 10,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1800-11,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Brown Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size11,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1800-12,"Side Split, Single Palm, Textile Back, Brown Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Brown.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Brown Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff Kevlar Sewn,,,Size 12,"Side Split, Single Palm, Textile Back, Brown Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1801-8,"Side Split, Single Palm, Textile Back, Grey Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Grey.jpg,Majestic,,Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff Kevlar Sewn,,,Size 8,"Side Split, Single Palm, Textile Back, Grey Gloves"
237|27825,Leather Gloves|Cowhide Gloves,1801-9,"Side Split, Single Palm, Textile Back, Grey Gloves",,E:\IMAGES\ITEMS\product\1\8\Majestic-Side-Split-Single-Palm-Textile-Back-Grey.jpg,Majestic,"Majestic Side Split, Single Palm, Textile Back, Grey Gloves",Split Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff Kevlar Sewn,,,Size 9,"Side Split, Single Palm, Textile Back, Grey Gloves"
