category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
287|21967,Truck Side Boxes|Truck Boxes,246-3-01,Model Steel Hi-Side Truck Box,Model 246-3-01 Steel Hi-Side Truck Box,E:\IMAGES\ITEMS\product\2\4\Weather-Guard-Model-246-3-01-Steel-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 246-3-01 Steel Hi-Side Truck Box,"Door Opening: 12 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 246-3-01 Steel Hi-Side Truck Box,,Weather Guard Model 246-3-01 Steel Hi-Side Truck Box,Model Steel Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,264-3-01,Model Steel Hi-Side Truck Box,Model 264-3-01 Steel Hi-Side Truck Box,E:\IMAGES\ITEMS\product\2\6\Weather-Guard-Model-264-3-01-Steel-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 264-3-01 Steel Hi-Side Truck Box,"Door Opening: 12 1/4"" H x 29 1/2"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 264-3-01 Steel Hi-Side Truck Box,,Weather Guard Model 264-3-01 Steel Hi-Side Truck Box,Model Steel Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,272-3-01,Model Steel Hi-Side Truck Box,Model 272-3-01 Steel Hi-Side Truck Box,E:\IMAGES\ITEMS\product\2\7\Weather-Guard-Model-272-3-01-Steel-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 272-3-01 Steel Hi-Side Truck Box,"Door Opening: 12 1/4"" H x 29 1/2"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 272-3-01 Steel Hi-Side Truck Box,,Weather Guard Model 272-3-01 Steel Hi-Side Truck Box,Model Steel Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,290-3-01,Model Steel Hi-Side Truck Box,Model 290-3-01 Steel Hi-Side Truck Box,E:\IMAGES\ITEMS\product\2\9\Weather-Guard-Model-290-3-01-Steel-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 290-3-01 Steel Hi-Side Truck Box,"Door Opening: 12 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 290-3-01 Steel Hi-Side Truck Box,,Weather Guard Model 290-3-01 Steel Hi-Side Truck Box,Model Steel Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,296-3-01,Model Steel Hi-Side Truck Box,Model 296-3-01 Steel Hi-Side Truck Box,E:\IMAGES\ITEMS\product\2\9\Weather-Guard-Model-296-3-01-Steel-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 296-3-01 Steel Hi-Side Truck Box,"Door Opening: 12 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 296-3-01 Steel Hi-Side Truck Box,,Weather Guard Model 296-3-01 Steel Hi-Side Truck Box,Model Steel Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,247-3-01,Model Steel Super-Side Truck Box,Model 247-3-01 Steel Super-Side Truck Box,E:\IMAGES\ITEMS\product\2\4\Weather-Guard-Model-247-3-01-Steel-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 247-3-01 Steel Super-Side Truck Box,"Door Opening: 14 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 247-3-01 Steel Super-Side Truck Box,,Weather Guard Model 247-3-01 Steel Super-Side Truck Box,Model Steel Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,265-3-01,Model Steel Super-Side Truck Box,Model 265-3-01 Steel Super-Side Truck Box,E:\IMAGES\ITEMS\product\2\6\Weather-Guard-Model-265-3-01-Steel-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 265-3-01 Steel Super-Side Truck Box,"Door Opening: 14 1/4"" H x 29 1/2"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 265-3-01 Steel Super-Side Truck Box,,Weather Guard Model 265-3-01 Steel Super-Side Truck Box,Model Steel Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,291-3-01,Model Steel Super-Side Truck Box,Model 291-3-01 Steel Super-Side Truck Box,E:\IMAGES\ITEMS\product\2\9\Weather-Guard-Model-291-3-01-Steel-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 291-3-01 Steel Super-Side Truck Box,"Door Opening: 14 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 291-3-01 Steel Super-Side Truck Box,,Weather Guard Model 291-3-01 Steel Super-Side Truck Box,Model Steel Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,297-3-01,Model Steel Jumbo Super-Side Truck Box,Model 297-3-01 Steel Jumbo Super-Side Truck Box,E:\IMAGES\ITEMS\product\2\9\Weather-Guard-Model-297-3-01-Steel-Jumbo-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 297-3-01 Steel Jumbo Super-Side Truck Box,"Door Opening: 20 1/4"" H x 42 3/4"" WArmor-TUF? White CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 297-3-01 Steel Jumbo Super-Side Truck Box,,Weather Guard Model 297-3-01 Steel Jumbo Super-Side Truck Box,Model Steel Jumbo Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,296-5-01,Model Steel Hi-Side Box Black,Model 296-5-01 Steel Hi-Side Box Black,E:\IMAGES\ITEMS\product\2\9\Weather-Guard-Model-296-5-01-Steel-Hi-Side-Box.jpg,Weather Guard,Weather Guard Model 296-5-01 Steel Hi-Side Box Black,Stainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture-Frame Body Design,Model 296-5-01 Steel Hi-Side Box Black,,Weather Guard Model 296-5-01 Steel Hi-Side Box Black,Model Steel Hi-Side Box Black
287|21967,Truck Side Boxes|Truck Boxes,525-3-01,Model Mini Steel Underbed Box,Model 525-3-01 Mini Steel Underbed Box,E:\IMAGES\ITEMS\product\5\2\Weather-Guard-Model-525-3-01-Mini-Steel-Underbed.jpg,Weather Guard,Weather Guard Model 525-3-01 Mini Steel Underbed Box,Stainless Steel D-HandleAluminum Door and HingeThree Point Latching System14 gauge steel picture Frame Body DesignAvailable in White Armor-Tuf Finish or Black Armor-Tuf Finish (525-5-01),Model 525-3-01 Mini Steel Underbed Box,,Weather Guard Model 525-3-01 Mini Steel Underbed Box,Model Mini Steel Underbed Box
287|21967,Truck Side Boxes|Truck Boxes,525-5-01,Model Underbed Box - Steel - Black,Model 525-5-01 Underbed Box - Steel - Black,E:\IMAGES\ITEMS\product\5\2\Weather-Guard-Model-525-5-01-Underbed-Box-Steel.jpg,Weather Guard,Weather Guard Model 525-5-01 Underbed Box - Steel - Black,"Fits: Flatbed, platform or dump truck bodiesDoor Opening: Measures 9.5Features: Rotary style two position latch systemBrushed stainless steel paddle handle, with rotary style latch mechanism features a two position latch that prevents the door from inadvertently opening.Aluminum doors swing down for easy access and a full view of the contents.  Opened door is supported by aircraft-type cables with swedged fittings which can be removed to allow for a fully open swing down position.Positive weather seal protects tools and materials stored inside from road dirt and weather.",Model 525-5-01 Underbed Box - Steel - Black,,Weather Guard Model 525-5-01 Underbed Box - Steel - Black,Model Underbed Box - Steel - Black
287|21967,Truck Side Boxes|Truck Boxes,524-3-01,Model Standard Size Steel Underbed Truck Box,Model 524-3-01 Standard Size Steel Underbed Truck Box,E:\IMAGES\ITEMS\product\5\2\Weather-Guard-Model-524-3-01-Standard-Size-Steel-Underbed.jpg,Weather Guard,Weather Guard Model 524-3-01 Standard Size Steel Underbed Truck Box,Door Opening: 14.5 x 22.25Stainless Steel D-HandleAluminum Door and HingeThree Point Latching System14 gauge steel picture Frame Body DesignAvailable in White Armor-Tuf Finish or Black Armor-Tuf Finish (524-5-01),Model 524-3-01 Standard Size Steel Underbed Truck Box,,Weather Guard Model 524-3-01 Standard Size Steel Underbed Truck Box,Model Standard Size Steel Underbed Truck Box
