category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1067|22529,Lighting|Portable Work Light,08-00611,08-00611 Heavy Duty Halogen Tripod Work Lights,Heavy Duty Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\08-00611-Heavy-Duty-Halogen-Tripod-Work.png,Voltec Industries,Heavy Duty Halogen Work Lights,Tripod Extends To 6 Feet Tripod Features 2 In 1 Removable H-Base H-Base Design Heavy Duty Face Frames Insulated Foam Handles Bulb(S) Included,Heavy Duty Halogen Tripod Work Lights   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY  08-002105005ft18/3SJTWBlack5-15PYes2,,08-00611 Heavy Duty Halogen Tripod Work Lights,08-00611 Heavy Duty Halogen Tripod Work Lights
1067|22529,Lighting|Portable Work Light,08-00210,08-00210 Heavy Duty Halogen Tripod Work Lights,Heavy Duty Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\08-00210-Heavy-Duty-Halogen-Tripod-Work.png,Voltec Industries,Heavy Duty Halogen Work Lights,Tripod Extends To 6 Feet Tripod Features 2 In 1 Removable H-Base H-Base Design Heavy Duty Face Frames Insulated Foam Handles Bulb(S) Included,Heavy Duty Halogen Tripod Work Lights   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-0061110005ft18/3SJTWBlack5-15PYes2,,08-00210 Heavy Duty Halogen Tripod Work Lights,08-00210 Heavy Duty Halogen Tripod Work Lights
1067|22544,Lighting|Twin Light Tower,08-00616,Industrial Grade Halogen Tripod Work Light,Heavy Duty Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\Industrial-Grade-Halogen-Tripod-Work.png,Voltec Industries,Heavy Duty Halogen Work Lights,Tripod Extends To 7 Feet Tripod Features 2 In 1 Removable H-Base Heavy Duty H-Base Design Heavy Duty Face Frames,Heavy Duty Grill Heavy Duty Grill Insulated Foam Handles Larger Housing For Higher Wattage Bulb(S) Included Adjustable Extension Leg Industrial Grade Halogen Tripod Work Light   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-0061614007ft18/3SJTWBlack5-15PYes2,,Industrial Grade Halogen Tripod Work Light,Industrial Grade Halogen Tripod Work Light
2002|20671,Booster Cables|Jumper Cables,10-00224,Booster Cables,Booster Cables,E:\IMAGES\ITEMS\product\1\0\10-00224-Booster.png,Voltec Industries,Booster Cables,Cord Length : 12ft Gauge : 10,"Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-002241012ftRed/BlackLight Duty Clamp6",,10-00224 Booster Cables,Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00273,Booster Cables,Booster Cables,E:\IMAGES\ITEMS\product\1\0\10-00273-Booster.png,Voltec Industries,Booster Cables,Cord Length : 12ft Gauge : 8,"Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00273812ftYellow/BlackMedium Duty Side/Top Clamp6",,10-00273 Booster Cables,Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00305,Booster Cables,,E:\IMAGES\ITEMS\product\1\0\Booster.png,Voltec Industries,,Cord Length : 12ft Gauge : 6,"Booster Cables Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00305612ftOrange/BlackMedium Duty Side/Top Clamp6 10-00275616ftOrange/BlackMedium Duty Side/Top Clamp6",,12ft,Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00275,Booster Cables,,E:\IMAGES\ITEMS\product\1\0\Booster.png,Voltec Industries,Booster Cables,Cord Length : 12ft Gauge : 6,"Booster Cables Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00305612ftOrange/BlackMedium Duty Side/Top Clamp6 10-00275616ftOrange/BlackMedium Duty Side/Top Clamp6",,16ft,Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00307,Booster Cables,Booster Cables,E:\IMAGES\ITEMS\product\1\0\10-00307-Booster.png,Voltec Industries,Booster Cables,Cord Length : 16ft Gauge : 4,"Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00307416ftBlue/BlackMedium Duty Side/Top Clamp6",,10-00307 Booster Cables,Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00277,PRO Booster Cables,PRO Booster Cables,E:\IMAGES\ITEMS\product\1\0\10-00277-PRO-Booster.png,Voltec Industries,PRO Booster Cables,Cord Length : 20ft Gauge : 4,"Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. PRO Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00277420ftBlue/BlackHeavy Duty Parrot Jaw Clamp4",,10-00277 PRO Booster Cables,PRO Booster Cables
2002|20671,Booster Cables|Jumper Cables,10-00276,PRO Booster Cables,PRO Booster Cables,E:\IMAGES\ITEMS\product\1\0\10-00276-PRO-Booster.png,Voltec Industries,PRO Booster Cables,Cord Length : 20ft Gauge : 2,"Voltec offers a full line of durable booster cables. These cables are resistant to extreme temperatures, oil and chemicals. They are available in medium-duty 10 and 8 AWG as well as heavy-duty 6 and 4 AWG, and extra-heavy duty 2 AWG. We offer these in a variety of lengths to match every need. PRO Booster Cables   ITEM PNGAUGECORD LENGTHWIRE COLORCLAMP TYPEPACK QTY 10-00276220ftBlue/BlackHeavy Duty Parrot Jaw Clamp2",,10-00276 PRO Booster Cables,PRO Booster Cables
